"","Genes","GSM972389","GSM972390","GSM972396","GSM972401","GSM972409","GSM972412","GSM972413","GSM972422","GSM972429","GSM972433","GSM972438","GSM972440","GSM972443","GSM972444","GSM972446","GSM972453","GSM972457","GSM972459","GSM972463","GSM972467","GSM972472","GSM972473","GSM972475","GSM972476","GSM972477","GSM972479","GSM972480","GSM972487","GSM972488","GSM972489","GSM972496","GSM972502","GSM972510","GSM972512","GSM972521"
"1366","237216_at",5.107213224,3.017402044,5.332066279,3.350730845,3.495243426,5.477052853,4.710556771,3.16487099,2.776309681,3.786021838,4.804321577,5.424450812,3.631664291,3.743513327,5.28393262,4.154689116,3.650290533,4.148489097,4.610953442,4.808999612,3.930551125,2.611049931,4.639288935,3.714155751,4.039204031,4.830180813,4.036200362,3.84790084,3.28655667,4.295204249,3.298482776,4.048094118,4.361717886,3.499441454,4.616608833
"1367","237515_at",5.269484019,3.664322681,5.839332475,4.116059193,3.191905692,5.081473589,4.307859319,4.048745283,3.157479826,3.283827466,4.737198072,3.228150172,2.969002937,4.109930205,4.789961421,4.106283728,5.142918226,5.348488599,5.48244203,3.209895245,4.813099482,3.60327337,5.11105275,3.188699589,4.523057935,3.977602028,5.724422007,3.190233003,5.717067941,5.433988589,5.444195313,4.147184925,5.559372371,3.53277146,3.230220733
"1368","237521_x_at",6.912517171,5.087200184,6.645696193,6.51793411,2.145924348,7.140854896,5.781940584,3.826185076,4.94493204,3.839128289,6.765208988,4.022173084,5.190699427,3.052244198,6.578593476,4.979954721,7.383865858,8.327633729,7.879867416,2.304088649,6.37548625,6.888310955,7.535418616,3.739004514,4.89791556,6.549162,6.160784458,6.718473079,6.654085656,6.855209588,6.554799834,4.872331182,7.193771146,5.360383615,4.824711337
"1369","237625_s_at",2.878533586,4.356126117,2.548708505,5.086372095,3.198766072,4.919161825,3.515737412,3.840723757,4.334165588,3.931390928,2.622052503,4.150843085,2.622352206,5.009948194,3.584054683,2.565145434,3.186474066,2.961139552,3.830887646,3.254574899,2.35323635,3.691329057,3.150005564,2.405162269,2.774865216,3.182478676,3.388318997,3.121498202,4.169542988,3.052341033,4.358222773,2.888909242,3.272224443,3.733586729,3.208462218
"1370","237727_at",3.390202029,3.709668756,3.883377113,3.418096727,3.675728932,6.562165761,4.247238805,3.487966796,4.719464674,3.797619305,3.632873775,4.304858276,6.375375121,3.174400498,3.870969493,5.317231577,3.801316996,6.078377014,3.899825694,5.66263295,3.898187037,4.098332278,4.113938699,4.184974128,3.408442964,4.211074062,3.717619955,3.02991761,3.396832927,4.280189814,3.523153239,3.795712522,3.753763411,5.406615409,4.283833627
"1371","237737_at",3.545012835,3.500433335,5.772019216,4.302154755,3.217748059,4.049395928,3.191627625,3.837358301,3.371428756,7.760368249,5.749240947,3.239814454,3.970052197,3.914489754,3.356374434,4.469756375,3.445580048,5.035644837,3.421224693,3.617781153,3.385354794,6.476197667,5.927951295,3.39595085,3.275010494,5.419739811,6.482293304,2.952357128,4.256538621,5.502187441,7.328468218,3.521687167,5.213493676,3.858126886,3.57988736
"1372","237974_at",3.91577122,3.42041619,3.13098634,3.254601287,4.669255461,4.352924438,4.086316875,6.517089787,3.246773263,7.272073528,2.705976348,2.758510229,3.493254769,7.030995338,3.522628853,3.130664558,3.004595516,2.750802942,3.022748975,3.369148727,3.029151424,3.154531276,3.085068357,7.710400816,6.99014661,2.894326259,3.021104483,2.893339366,4.76870436,3.01365064,3.519523555,4.099038035,3.77249138,3.373435315,5.512930662
"1373","238017_at",8.629443834,7.679434432,8.357481517,5.091607778,4.251629986,5.307880198,6.192044032,4.719230883,6.616480396,8.155101735,8.620310971,6.778374512,4.708120752,9.971098939,5.706531937,5.197036342,8.536291623,6.618032284,7.544269821,2.028386983,7.883129341,5.769918761,8.613176532,8.106828787,7.976915319,8.619774121,7.473489269,9.239855688,9.096589357,7.709973627,7.459966003,6.157903843,7.430660517,8.073319219,5.780369318
"1374","238021_s_at",8.039122041,5.957506505,6.635317886,5.733592237,3.503417844,7.632940528,5.711928582,4.943091994,5.438817101,5.501379468,5.235467399,6.891622077,3.261643585,6.772440336,4.400596405,6.082794361,7.600529052,7.734413134,6.240312295,4.026649071,8.441626468,5.350095109,7.701808939,6.232702074,6.050716431,8.610726774,7.040118913,7.284307368,8.023017961,7.585367462,7.157211751,6.853232932,6.288023612,7.59497748,5.637278857
"1375","238022_at",6.457787675,4.981620109,5.149767003,4.709350391,3.99394677,5.896040209,3.509585403,4.591425836,5.326099468,4.685251725,4.731274956,4.502750247,3.11560267,5.457588659,3.388293981,4.673937483,5.754651051,5.554432892,4.758613562,3.238381137,6.755936068,4.074504781,5.847080152,4.513381813,4.585244494,6.753153643,5.601078872,6.096224422,6.753114916,6.08619669,5.346649825,5.630357582,4.712165224,5.934456314,4.109363221
"1376","238103_at",7.672763992,5.800830528,8.844290841,6.137195432,3.461272052,6.821852498,4.759255355,6.05722894,7.06409752,5.883196417,8.490473329,7.672446875,7.908847796,6.22446853,5.239721584,7.987144527,6.924578046,8.003591239,7.030842748,3.598083419,7.259819262,7.952878456,8.318659594,2.933072579,6.931232149,5.917024562,8.03426511,7.999077747,8.103516016,7.204087406,5.971896185,5.389798224,7.842947222,6.640051973,5.856207338
"1377","238143_at",5.779916697,8.75510916,7.877644367,7.414545747,4.978053316,8.694961616,8.545562238,5.648892258,8.841168065,4.968755423,5.123285419,5.705721794,6.422715515,5.385489691,9.295279632,5.610347353,8.198839965,7.656345622,8.747832997,4.480646007,8.866451716,9.121302678,10.28137821,5.552919007,8.476498193,6.863474673,8.173132845,9.761058671,7.404787705,9.914670522,7.452504885,9.206566024,8.929877291,6.266545431,6.680644359
"1378","238378_at",5.764037539,3.669737611,3.701802086,4.197457169,3.193590469,3.432379769,3.698861032,3.186274376,3.566425066,3.281290358,3.891761142,3.430189913,3.619278322,3.792853868,3.08816568,4.25426582,5.605285739,3.052290186,4.718770902,2.774310583,4.437877869,3.14628551,5.362356785,2.562979023,2.609496566,3.41389923,3.963856009,4.560845319,5.529650082,4.23123412,4.169555997,3.321097001,4.104352069,3.736466869,3.741435977
"1379","238429_at",4.533649548,3.861195707,7.188034816,7.492378388,5.263175956,4.76254398,5.206319265,4.968549885,4.857038853,6.114502987,6.343583343,5.315448079,4.468573055,5.431962974,4.073143981,4.209610206,6.482346437,5.746381412,4.4919999,4.407370267,4.528764543,7.102294468,3.859498583,4.314200644,4.856502866,4.896059934,6.994599418,3.7464873,6.467892558,6.841206032,5.456842675,7.345587372,5.787388378,4.397951677,5.185359001
"1380","238447_at",4.982574941,4.112965026,5.167647153,5.352968929,6.671450401,8.411284044,7.523233668,5.646467189,3.930557395,6.912245124,6.098312113,5.688923597,3.995133435,7.939950949,5.18850847,4.447831449,4.948991031,5.177379738,5.334597562,8.075109334,3.912192636,5.07012615,4.801855208,7.110744809,4.151620558,7.920007778,3.97142178,4.06991949,4.490944389,4.461711862,3.421520822,5.089607704,4.845797047,5.138116376,6.26562785
"1381","238455_at",5.17946366,3.988305315,4.641244263,6.670122052,7.014974676,4.057727593,7.681853948,6.112994126,3.890869824,5.796764415,7.125255429,6.168773439,4.482130805,6.352579099,4.516764897,4.599397764,4.877428677,5.193687783,4.71481274,6.081065712,6.709949317,4.46164805,4.608672296,7.141861585,3.446746098,8.085561015,3.292853827,4.054866611,4.933338437,4.884163942,2.953520713,4.473627749,4.939911801,4.575904654,5.591764693
"1382","238462_at",5.830971764,3.628764612,3.560892352,5.031429117,4.33525397,3.878396588,3.730128669,3.832695831,3.270667025,4.909348375,3.584017951,4.566586881,3.384650116,7.008792143,3.261563836,4.647805009,2.979608569,3.040521712,3.892122263,4.801524408,2.795044686,4.700548126,3.630681704,3.564756451,5.000840236,6.095310621,2.937022986,3.924079057,3.920828368,4.685940539,3.921757895,3.976399211,3.062588142,3.726372052,3.852479922
"1383","238478_at",4.856085544,4.430743555,4.164788346,5.727562036,7.126292902,5.349800008,7.538420586,5.534633754,4.167083512,7.014021671,6.25260848,6.269687224,3.867824333,8.043499609,4.779000252,4.28635191,4.083684739,4.684911157,4.541151665,8.680567639,4.698040704,4.791702095,4.126879686,6.699225838,3.817595702,7.540826159,4.482500853,3.557641602,4.142611835,4.696346819,3.78341954,4.985791747,4.52612759,4.862171091,6.395811006
"1384","238481_at",3.467070602,3.148464504,3.051613591,3.159346872,5.30911599,3.96964844,7.02818491,5.908455824,2.393925188,5.450874001,3.982676898,5.6335365,3.081926222,5.688661355,2.806228414,3.237651799,3.259351122,2.856853673,3.164566561,6.561439416,3.392902482,3.773516209,3.338024189,6.093212004,3.17818454,6.19187856,2.947698384,3.043107277,3.086610756,3.700549949,3.059253194,4.076000197,3.697843546,3.506827058,5.860379804
"1385","238617_at",5.252594343,5.238628544,4.720160285,7.102214424,8.07708928,6.338298184,7.982204119,6.427221703,3.985371264,6.415930416,7.991407625,7.140109194,4.593723818,9.093212798,5.376219623,4.65629828,5.247816826,7.915844345,4.621634493,6.289906153,5.420976893,5.367839616,4.330845727,6.647149139,4.665246381,8.038975981,5.41463068,4.293156243,4.653011211,5.879341218,4.778027844,5.737760831,4.650424554,5.779003033,6.325922921
"1386","238623_at",4.681321068,4.131332098,3.871635538,7.206870436,6.248179282,5.690350971,7.686031332,6.213168677,2.980436552,8.257896384,6.192796692,5.763617048,3.91235583,8.543237496,4.54754944,4.185255772,3.852168033,4.1393239,3.731082456,6.690214043,6.078537174,4.958674842,3.906068732,8.067433269,4.291787554,8.836139586,3.939553315,3.758905077,4.057441838,5.297014165,4.307968171,5.059658039,4.108662955,5.4960413,6.245764278
"1387","238632_at",6.481018808,3.200322975,6.665635323,4.295982205,4.416230611,4.501552686,5.572462068,4.638922341,6.949337646,4.498042126,4.686233167,4.662810006,4.276705338,3.384673088,4.113661364,5.216360503,6.553429452,5.816749099,6.793102248,2.234079964,5.01858106,5.763908912,7.041935499,4.109708833,4.682336636,5.511390366,7.108475356,4.727678071,6.410714529,6.997291966,6.731076718,4.537772314,6.149821624,6.642228239,5.702379886
"1388","238750_at",5.752296109,7.063716397,7.168513192,7.750118074,6.384425606,8.117983291,5.661686805,6.296317197,9.873794848,5.782252169,6.648694446,7.617247237,8.180761431,7.10976463,7.087915078,8.805863536,8.238881477,6.425268787,8.16782261,3.881445881,6.002637201,8.69746688,7.153519686,4.762995929,7.264702183,4.527370311,7.460997364,9.663512777,8.24683632,7.668910528,9.146650305,7.515269708,8.308697968,7.960419148,6.215767152
"1389","238751_at",5.235571776,3.217878432,4.351876163,3.197388988,3.407226796,4.794811163,3.864549312,3.001844096,3.59704452,6.299714184,4.563695076,3.372215653,3.177727733,3.679236037,3.506003027,3.591515403,3.83258306,4.028167786,3.53254874,6.57365308,4.767861808,3.370509189,3.295518017,6.362969895,3.038416417,3.211726145,3.396404229,3.344860536,3.565296703,3.274298267,3.162074671,4.120421403,3.328912036,3.664868868,4.472302739
"1390","238846_at",8.410286864,6.600783942,9.022505833,6.987737395,6.627313454,7.406153095,5.831041048,4.618775556,9.010205469,4.541646176,7.246681892,8.558281362,8.468379801,6.925894441,5.262716924,7.773649984,8.484428221,7.461638057,8.792829648,5.445508416,7.405763487,7.929260014,8.486549421,5.698741823,6.052741967,4.174910772,8.342151107,10.05670418,8.692037049,9.720341583,8.182237128,5.897215771,9.17787185,8.163343037,6.323586163
"1391","238852_at",5.838090442,3.279566872,3.207494119,5.785451977,6.408038763,3.219973287,6.428054167,4.095739121,2.849112568,5.218779238,5.457967237,5.974241776,3.036467744,6.301663281,3.903038718,2.694840662,4.697568975,5.178138078,3.037036751,3.292235624,4.254941013,2.605821232,4.94179093,4.424415685,2.452373664,8.060460085,3.018368492,2.790451757,3.188767856,4.102125474,2.545566437,2.884241304,2.764080578,3.666944555,4.751429264
"1392","238878_at",6.539515724,3.984265282,5.143744213,3.650138793,3.403652401,3.165245343,3.233524316,3.412618919,3.54042673,3.374041881,3.096675082,3.304580949,3.523738553,3.291809661,3.675981248,5.645650131,3.571856346,3.128257428,3.246611479,3.178121519,2.94348578,3.323683907,7.325032319,3.166741765,3.343007989,6.234148426,3.932141586,8.348146217,3.456440881,3.21821006,3.486166033,3.983237143,2.945781915,3.614655231,2.975185971
"1393","238900_at",3.058983311,3.567974103,2.848845069,2.569064533,6.280216735,4.26078706,5.039661393,2.545550861,2.309418546,5.072358182,2.376161893,2.330387942,2.639123143,4.981054583,2.622193297,2.627889134,2.634496767,2.590746766,3.624310702,2.485534687,3.036724997,5.095299562,2.396089922,2.568360696,2.836533062,2.426217161,3.895431508,4.519705315,2.640451445,4.178462088,4.22376177,3.123632549,2.977990107,2.946206877,2.707328549
"1394","238906_s_at",3.464521421,3.5127637,3.099785638,5.149179615,3.967596912,3.537587131,3.558504756,3.572895852,3.602847134,5.234084901,5.249800313,3.513276606,3.086197347,4.677394138,3.531373434,2.938323686,2.975077053,3.436591601,3.362816928,5.267664693,4.626086952,3.293463348,3.319520964,4.767761014,3.240819115,4.169429769,3.245679761,3.054495642,3.119251648,3.211435528,2.905844791,3.164741662,3.285860632,4.117709008,3.927082805
"1395","238984_at",7.397173053,6.964743053,5.826185548,4.155108543,3.532024287,4.25417599,3.603431761,3.896809621,4.612453589,4.075471765,8.679439065,3.939846536,4.613768908,3.778648259,5.933180847,3.822382016,7.249486031,5.67319641,7.256628055,3.134161971,7.919266862,4.848472586,8.409619594,3.218474848,3.270464681,5.805420799,3.732556216,6.712955216,7.831770281,5.120294537,4.454868381,5.472793815,5.761760166,4.56550399,3.729771399
"1396","239102_s_at",4.068206861,3.977180674,3.479010444,5.594813244,3.95540779,3.853372501,4.71831786,3.506998526,2.790331562,3.652014053,5.182373642,4.563234926,4.399950513,6.27871669,4.489045306,3.891074007,4.043538976,3.63350926,3.901586705,4.275661763,3.636034579,2.72647001,4.047417862,4.150593942,2.987187412,4.976926325,3.079915693,3.813742578,3.509741829,4.045871357,3.688074313,3.001098435,4.341305014,4.856049259,4.303467208
"1397","239131_at",5.545360644,2.895495504,5.092350707,4.793805355,5.102561689,6.669036745,6.111577125,4.107533736,3.9283841,5.221093717,4.987062116,5.974982653,3.542130012,3.729393014,2.733223191,5.478492264,6.05713469,5.921703642,4.414838967,5.452006611,4.495390184,3.845038196,5.340861795,5.021206035,4.851871594,5.858607428,4.591868621,4.588894106,4.749094596,4.237249927,4.758323103,4.142804425,5.711729247,5.225024103,6.159842245
"1398","239258_at",4.796280721,3.538752102,3.766496631,6.473200355,4.327014722,4.509707393,4.675017178,3.398695974,3.099874819,4.395900195,5.18646424,6.346310721,4.374371462,6.128471261,3.63734668,3.442036252,3.814596188,4.789484599,3.970317525,4.846183494,3.957014532,3.129230258,3.853863858,4.6381554,3.653887108,6.706174795,3.676081635,3.510768975,3.606239081,4.030483844,3.665768001,3.591556317,4.078698189,4.92469941,4.638645676
